indicator,location,country,value,lat,long,code,rank
Jobs,NLD,Netherlands,12152.56702,52.132633,5.291266,528,7
Jobs,DNK,Denmark,12102.53918,56.26392,9.501785,208,8
Jobs,NOR,Norway,11958.71355,60.472024,8.468946,578,9
Jobs,BEL,Belgium,11740.19803,50.503887,4.469936,56,10
Jobs,CAN,Canada,11669.86673,56.130366,-106.346771,124,11
Jobs,AUT,Austria,11063.85677,47.516231,14.550072,40,12
Jobs,NZL,New Zealand,11021.91533,-40.900557,174.885971,554,13
Jobs,DEU,Germany,10631.07034,51.165691,10.451526,276,14
Jobs,FIN,Finland,9992.032433,61.92411,25.748151,246,15
Jobs,SWE,Sweden,9892.716168,60.128161,18.643501,752,16
Jobs,FRA,France,9823.663334,46.227638,2.213749,250,17
Jobs,GBR,United Kingdom,9723.776523,55.378051,-3.435973,826,18
Jobs,ESP,Spain,8916.617265,40.463667,-3.74922,724,19
Jobs,JPN,Japan,8585.774871,36.204824,138.252924,392,20
Jobs,ITA,Italy,8467.992685,41.87194,12.56738,380,21
Jobs,KOR,Korea,7939.696824,35.907757,127.766922,410,22
Jobs,SVN,Slovenia,7929.879881,46.151241,14.995463,705,23
Jobs,ISR,Israel,7137.243771,31.046051,34.851612,376,24
Jobs,GRC,Greece,6488.38859,39.074208,21.824312,300,25
Jobs,RUS,Russia,6446.268241,61.52401,105.318756,643,26
Jobs,PRT,Portugal,5866.679396,39.399872,-8.224454,620,27
Jobs,POL,Poland,5668.667921,51.919438,19.145136,616,28
Jobs,LVA,Latvia,5314.929658,56.879635,24.603189,428,29
Jobs,CZE,Czech Republic,5155.577761,49.817492,15.472962,203,30
Jobs,EST,Estonia,5142.059142,58.595272,25.013607,233,31
Jobs,SVK,Slovak Republic,5054.485132,48.669026,19.699024,703,32
Jobs,CHL,Chile,4982.123389,-35.675147,-71.542969,152,33
Jobs,HUN,Hungary,4969.253174,47.162494,19.503304,348,34
Jobs,TUR,Turkey,3754.07647,38.963745,35.243322,792,35
Jobs,MEX,Mexico,3087.589069,23.634501,-102.552784,484,36
Jobs,BRA,Brazil,2432.978863,-14.235004,-51.92528,76,37
Jobs,ZAF,South Africa,1297.182414,-30.559482,22.937506,710,38
Life Satisfaction,CHE,Switzerland,7.65,46.818188,8.227512,756,1
Life Satisfaction,DNK,Denmark,7.6,56.26392,9.501785,208,2
Life Satisfaction,NOR,Norway,7.6,60.472024,8.468946,578,3
Life Satisfaction,ISL,Iceland,7.5,64.963051,-19.020835,352,4
Life Satisfaction,FIN,Finland,7.46,61.92411,25.748151,246,5
Life Satisfaction,CAN,Canada,7.45,56.130366,-106.346771,124,6
Life Satisfaction,NZL,New Zealand,7.44,-40.900557,174.885971,554,7
Life Satisfaction,NLD,Netherlands,7.35,52.132633,5.291266,528,8
Life Satisfaction,SWE,Sweden,7.35,60.128161,18.643501,752,9
Life Satisfaction,AUS,Australia,7.325,-25.274398,133.775136,36,10
Life Satisfaction,AUT,Austria,7.15,47.516231,14.550072,40,11
Life Satisfaction,ISR,Israel,7.15,31.046051,34.851612,376,12
Life Satisfaction,DEU,Germany,7.075,51.165691,10.451526,276,13
Life Satisfaction,BEL,Belgium,6.975,50.503887,4.469936,56,14
Life Satisfaction,USA,United States,6.975,37.09024,-95.712891,840,15
Life Satisfaction,IRL,Ireland,6.875,53.41291,-8.24389,372,16
Life Satisfaction,CZE,Czech Republic,6.775,49.817492,15.472962,203,17
Life Satisfaction,LUX,Luxembourg,6.7,49.815273,6.129583,442,18
Life Satisfaction,CHL,Chile,6.58,-35.675147,-71.542969,152,19
Life Satisfaction,GBR,United Kingdom,6.56,55.378051,-3.435973,826,20
Life Satisfaction,BRA,Brazil,6.525,-14.235004,-51.92528,76,21
Life Satisfaction,SVK,Slovak Republic,6.425,48.669026,19.699024,703,22
Life Satisfaction,FRA,France,6.42,46.227638,2.213749,250,23
Life Satisfaction,ESP,Spain,6.35,40.463667,-3.74922,724,24
Life Satisfaction,MEX,Mexico,6.28,23.634501,-102.552784,484,25
Life Satisfaction,RUS,Russia,6.02,61.52401,105.318756,643,26
Life Satisfaction,POL,Poland,5.98,51.919438,19.145136,616,27
Life Satisfaction,ITA,Italy,5.9,41.87194,12.56738,380,28
Life Satisfaction,LVA,Latvia,5.9,56.879635,24.603189,428,29
Life Satisfaction,JPN,Japan,5.88,36.204824,138.252924,392,30
Life Satisfaction,KOR,Korea,5.74,35.907757,127.766922,410,31
Life Satisfaction,SVN,Slovenia,5.65,46.151241,14.995463,705,32
Life Satisfaction,EST,Estonia,5.64,58.595272,25.013607,233,33
Life Satisfaction,GRC,Greece,5.62,39.074208,21.824312,300,34
Life Satisfaction,TUR,Turkey,5.54,38.963745,35.243322,792,35
Life Satisfaction,HUN,Hungary,5.4,47.162494,19.503304,348,36
Life Satisfaction,PRT,Portugal,5.2,39.399872,-8.224454,620,37
Life Satisfaction,ZAF,South Africa,5,-30.559482,22.937506,710,38
Safety,NOR,Norway,45.25,60.472024,8.468946,578,1
Safety,CHE,Switzerland,43.96666667,46.818188,8.227512,756,2
Safety,FIN,Finland,43.68333333,61.92411,25.748151,246,3
Safety,DNK,Denmark,42.76666667,56.26392,9.501785,208,4
Safety,SVN,Slovenia,42.18333333,46.151241,14.995463,705,5
Safety,CAN,Canada,41.9,56.130366,-106.346771,124,6
Safety,ESP,Spain,41.15,40.463667,-3.74922,724,7
Safety,AUT,Austria,40.85,47.516231,14.550072,40,8
Safety,NLD,Netherlands,40.66666667,52.132633,5.291266,528,9
Safety,USA,United States,39.45,37.09024,-95.712891,840,10
Safety,ISL,Iceland,39.2,64.963051,-19.020835,352,11
Safety,GBR,United Kingdom,39.06666667,55.378051,-3.435973,826,12
Safety,IRL,Ireland,38.96666667,53.41291,-8.24389,372,13
Safety,SWE,Sweden,38.86666667,60.128161,18.643501,752,14
Safety,DEU,Germany,37.61666667,51.165691,10.451526,276,15
Safety,EST,Estonia,36.41666667,58.595272,25.013607,233,16
Safety,FRA,France,35.78333334,46.227638,2.213749,250,17
Safety,CZE,Czech Republic,35.6,49.817492,15.472962,203,18
Safety,JPN,Japan,35.41666667,36.204824,138.252924,392,19
Safety,LUX,Luxembourg,35.41666667,49.815273,6.129583,442,20
Safety,BEL,Belgium,35.38333333,50.503887,4.469936,56,21
Safety,PRT,Portugal,35.28333334,39.399872,-8.224454,620,22
Safety,KOR,Korea,34.41666667,35.907757,127.766922,410,23
Safety,LVA,Latvia,34.25,56.879635,24.603189,428,24
Safety,ISR,Israel,34.08333334,31.046051,34.851612,376,25
Safety,POL,Poland,33.63333333,51.919438,19.145136,616,26
Safety,BRA,Brazil,33.45,-14.235004,-51.92528,76,27
Safety,NZL,New Zealand,33.2,-40.900557,174.885971,554,28
Safety,RUS,Russia,32.65,61.52401,105.318756,643,29
Safety,GRC,Greece,32.16666667,39.074208,21.824312,300,30
